review_text,label
갤노트8쓰는데 자꾸 핸드폰이 빠져요 ㅠ 한번도 안찍어 먹은건데 잠금 단추라도 손수 달려고요 ㅠ,0
개인 체격에 맞게 주문하여야 할 꺼 갇습니다,0
불친절해요,0
다른 제품이랑 큰 차이 없네요. 비싸게 주고 사지마시고 이거 사서 쓰세요 다들. 좋네요. 잘 흘러냐리지도 않고 물통도 넣어서 다닐 수 있습니다,1
달리기할때 디게유용하구좋아요!,1
"러닝할 때 핸드폰을 어떻게 보관할지 고민했었는데 안성맞춤인 제품을 찾아서 너무 좋아요
하나도 불편하지 않고 딱 고정되서 너무 좋네요!
잘 쓸게요~~",1
벨트 너무 편해요 진짜!! 암밴드 살까 고민하다가 이거 샀는데 강추합니다ㅏ,1
허리 32인치에 M사이즈 맞구요. 생각보다 두껍고 바느질 일부 누락되었네요. 휴대폰 넣을때 튿어지지 않게 조심해서 착용해야겠네요.,0
쓰임새가많아서 좋게쓰네요 ,1
굿굿 좋아요 굿굿굿,1
"암밴드사려다 샀어용 ㅎㅎ
쫀쫀하니 좋음",1
만족합니다~,1
허접함 가격보다못합니다,0
런닝할때 핸드폰 넣고 다니는데 잘 안빠지고 좋아요,1
다른 벨트들처럼 버클로 쪼임을 고정할 수가 없습니다. (단순히 쪼이는 탄력으로 고정하는 벨트),0
주머니에 폰 넣으면 한쪽이 무거워서 불편했는데 벨트를 사용하니 편합니다,1
아직 사용은 안해봤어요,0
배송도 느리고 그냥 그래요,0
딱맞네요 좋아보입니다,1
허리에 안 찬 것처럼 편해요~,1
처음 착용하고 런닝 뛰다가 핸드폰 튀어나와서 큰일날뻔했습니다. 구매하고 처음 사용하자마자 생긴일이라 전혀 사용도 못해보고 돈만 날렸네요 지퍼 없는게 간편하다고 생각했더니 아니였네요,0
"실용성없어요
물건을넣으면입구쪽구멍난쪽으로
분실위험이너무커요
반품비때심그냥방치?",0
잘받았어요. 아직 사용은 안했지만 추천받았으니 좋을거라고 생각합니다,1
빠른 배송감사합니다,1
별롱에요...ㄴ핸드폰 어떻게 ....냄새도 안좋음,0
빠른 배송 감사합니다,1
달리기 필수템입니다. 이젠 없으면 안돼요!,1
너무싼티 나네요. 생각했던 이미지가 아니예요,0
좋아요 짱짱합니다 굿굿,1
벨트가 아니고 그냥 탄성잇는 허리띠네요 생각햇던거랑 달라서 잘 못산거 같지만 사용해보게요,0
달랑거리는거 하나도 없어엉 딱 붙어있음,1
러닝할때 정말 편하고 좋아요,1
"넘 허접해요
반품비가 더나와서 그냥 다른거 다시사야할듯",0
운동할때 좋을 것 같아요 생각보다 큰 느낌이었는데 실제로 착용해보니 딱 적당한 것 같아요 운동할 때 말고도 여행갈때 써도 좋을 것 같네요 한가지 아쉬운건 폭이 조금 더 넓었으면 좋겠어요,1
휴대폰은 안떨어지는데  뱃살때문에 그런지 모델처럼 각이 안나오네요 말려요,0
"좋은데 90키로이상나가지 않으면 m사이즈 추천이요
라지주문했는데 100키로 나가는 신랑한테 딱이네요~  뛰다보면 헐거워질수 있으니..
덩치있으신분들 m추천이요~
형광색 이쁩니다~
운동할때 업 될것같습니다 ~~",1
"기대치 보단 그저 그렇습니다.
그리고 헤어밴드는 아주 조잡 합니다.폭이 약13미리 정도로 땀이 많이나면 흘러 넘치게 생겼습니다.",0
사이즈가 생각보다 큽니다.그러다  보니 내용물이 빠지더라구요!전 비추예요.ㅠㅠ,0
"좋다
아이폰 xs max도 넉넉히 들어가고
하지만 내구성은 어떨지 궁금 ㅎㅎ",1
짱이보니다 ,1
아주좋아요 감사합니다..,1
안떨어지네요,1
달리기 할때 핸드폰이나 젤을 넣기에 이게 제일 좋네요,1
물품은 좋은데 배송이 최악,0
"172에67키론데 m 저스트입니다.
착용하고 뛰어봤는데 편하고 좋네요~^^",1
사용하기 편리하고 신축성도 뛰어나네요,1
"6.7 주문, 6.21 배송완료, 재구매인데 배송때문에 별 1점 드립니다",0
배송빠르고 무엇보다 좋음 ㅇㅎ너돼;ㅓ호ㅓㅈㅁ료섲ㄻ욧ㅍㅋㅅㄱㅂㅇㅅㄱㅁㅍㄹㄷㅇㅅㄱㅈㅍㅇㄷㄱㅈㅁㅋㅁㅈ숃ㄱㅎㅇㄽㅈㅍㄷㅇㅅ굦ㄷㅁㅍㅇㅌㅅ굦ㅁㅍ ㅌㄱㅇ쇼ㅕㄹㅁㅋ요ㅕㅠㅁㅈ룓쇼셪ㄷ,1
좋았습니다감사힙ㆍ니다 세네,0
완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽,1
"핸드폰 갤럭시s23울트라 큰 사이즈도 잘 들어가요 
에어팟챙기고 차키정도 넣어서 뛸수있어요 
손이 자유로우니까 일단 가장 큰 장점이라 할수있어요 
물론 안정감은 베스트형이겠지만, 
등에 땀나니까요!",1
짱짱하고 생각보다 잘 안 늘어나요.,1
"혹시나 해서 작은걸 구매했는데 한 치수 작은걸 구매해야 
좀 늘어나도 쓸 수 있을 것 같아요~",1
깔끔하네요! 저렴하고 괜찮네요,1
선물인데 맘에들어해서 좋아영,1
넘 쪼이네요 더 큰 사이즈를 샀어야..ㅜㅠ,0
빠른배송 감사합니다! 편하게 운동할게욥!,1
날씨가 추워서 벨트 착용하고 런닝할수 업네요... 제품은 그저 그래요,0
암밴드보다 훨씬 좋네요,1
"공간이 너무 허접함
열쇠. 휴대폰 떨어지기 쉬움",0
"이게 발끝에서부터 팬티입듯 끌어올려 착용한다는 사실을 몰랐네요. 설명에도 없어서...
구멍이 세개인데 빠져나올것같지는 않지만 넣고 빼는것도 쉽지않읍니다.",0
