review_text,label,pred_baseline,pred_ai,Analysis_Category
갤노트8쓰는데 자꾸 핸드폰이 빠져요 ㅠ 한번도 안찍어 먹은건데 잠금 단추라도 손수 달려고요 ㅠ,0,0,1,Baseline Wins (AI Fail)
개인 체격에 맞게 주문하여야 할 꺼 갇습니다,0,1,0,AI Wins (AI Success)
불친절해요,0,1,0,AI Wins (AI Success)
다른 제품이랑 큰 차이 없네요. 비싸게 주고 사지마시고 이거 사서 쓰세요 다들. 좋네요. 잘 흘러냐리지도 않고 물통도 넣어서 다닐 수 있습니다,1,0,1,AI Wins (AI Success)
달리기할때 디게유용하구좋아요!,1,1,1,Both Correct
"러닝할 때 핸드폰을 어떻게 보관할지 고민했었는데 안성맞춤인 제품을 찾아서 너무 좋아요
하나도 불편하지 않고 딱 고정되서 너무 좋네요!
잘 쓸게요~~",1,0,1,AI Wins (AI Success)
벨트 너무 편해요 진짜!! 암밴드 살까 고민하다가 이거 샀는데 강추합니다ㅏ,1,1,1,Both Correct
허리 32인치에 M사이즈 맞구요. 생각보다 두껍고 바느질 일부 누락되었네요. 휴대폰 넣을때 튿어지지 않게 조심해서 착용해야겠네요.,0,1,1,Both Wrong
쓰임새가많아서 좋게쓰네요 ,1,1,1,Both Correct
굿굿 좋아요 굿굿굿,1,1,1,Both Correct
"암밴드사려다 샀어용 ㅎㅎ
쫀쫀하니 좋음",1,1,1,Both Correct
만족합니다~,1,1,1,Both Correct
허접함 가격보다못합니다,0,1,0,AI Wins (AI Success)
런닝할때 핸드폰 넣고 다니는데 잘 안빠지고 좋아요,1,0,1,AI Wins (AI Success)
다른 벨트들처럼 버클로 쪼임을 고정할 수가 없습니다. (단순히 쪼이는 탄력으로 고정하는 벨트),0,1,0,AI Wins (AI Success)
주머니에 폰 넣으면 한쪽이 무거워서 불편했는데 벨트를 사용하니 편합니다,1,0,1,AI Wins (AI Success)
아직 사용은 안해봤어요,0,0,1,Baseline Wins (AI Fail)
배송도 느리고 그냥 그래요,0,0,0,Both Correct
딱맞네요 좋아보입니다,1,1,1,Both Correct
허리에 안 찬 것처럼 편해요~,1,0,1,AI Wins (AI Success)
처음 착용하고 런닝 뛰다가 핸드폰 튀어나와서 큰일날뻔했습니다. 구매하고 처음 사용하자마자 생긴일이라 전혀 사용도 못해보고 돈만 날렸네요 지퍼 없는게 간편하다고 생각했더니 아니였네요,0,1,0,AI Wins (AI Success)
"실용성없어요
물건을넣으면입구쪽구멍난쪽으로
분실위험이너무커요
반품비때심그냥방치?",0,0,0,Both Correct
잘받았어요. 아직 사용은 안했지만 추천받았으니 좋을거라고 생각합니다,1,0,1,AI Wins (AI Success)
빠른 배송감사합니다,1,1,1,Both Correct
별롱에요...ㄴ핸드폰 어떻게 ....냄새도 안좋음,0,0,0,Both Correct
빠른 배송 감사합니다,1,1,1,Both Correct
달리기 필수템입니다. 이젠 없으면 안돼요!,1,0,1,AI Wins (AI Success)
너무싼티 나네요. 생각했던 이미지가 아니예요,0,1,0,AI Wins (AI Success)
좋아요 짱짱합니다 굿굿,1,1,1,Both Correct
벨트가 아니고 그냥 탄성잇는 허리띠네요 생각햇던거랑 달라서 잘 못산거 같지만 사용해보게요,0,1,1,Both Wrong
달랑거리는거 하나도 없어엉 딱 붙어있음,1,1,0,Baseline Wins (AI Fail)
러닝할때 정말 편하고 좋아요,1,1,1,Both Correct
"넘 허접해요
반품비가 더나와서 그냥 다른거 다시사야할듯",0,0,0,Both Correct
운동할때 좋을 것 같아요 생각보다 큰 느낌이었는데 실제로 착용해보니 딱 적당한 것 같아요 운동할 때 말고도 여행갈때 써도 좋을 것 같네요 한가지 아쉬운건 폭이 조금 더 넓었으면 좋겠어요,1,1,1,Both Correct
휴대폰은 안떨어지는데  뱃살때문에 그런지 모델처럼 각이 안나오네요 말려요,0,0,0,Both Correct
"좋은데 90키로이상나가지 않으면 m사이즈 추천이요
라지주문했는데 100키로 나가는 신랑한테 딱이네요~  뛰다보면 헐거워질수 있으니..
덩치있으신분들 m추천이요~
형광색 이쁩니다~
운동할때 업 될것같습니다 ~~",1,1,1,Both Correct
"기대치 보단 그저 그렇습니다.
그리고 헤어밴드는 아주 조잡 합니다.폭이 약13미리 정도로 땀이 많이나면 흘러 넘치게 생겼습니다.",0,1,0,AI Wins (AI Success)
사이즈가 생각보다 큽니다.그러다  보니 내용물이 빠지더라구요!전 비추예요.ㅠㅠ,0,1,0,AI Wins (AI Success)
"좋다
아이폰 xs max도 넉넉히 들어가고
하지만 내구성은 어떨지 궁금 ㅎㅎ",1,1,1,Both Correct
짱이보니다 ,1,1,1,Both Correct
아주좋아요 감사합니다..,1,1,1,Both Correct
안떨어지네요,1,0,0,Both Wrong
달리기 할때 핸드폰이나 젤을 넣기에 이게 제일 좋네요,1,1,1,Both Correct
물품은 좋은데 배송이 최악,0,0,0,Both Correct
"172에67키론데 m 저스트입니다.
착용하고 뛰어봤는데 편하고 좋네요~^^",1,1,1,Both Correct
사용하기 편리하고 신축성도 뛰어나네요,1,1,1,Both Correct
"6.7 주문, 6.21 배송완료, 재구매인데 배송때문에 별 1점 드립니다",0,1,1,Both Wrong
배송빠르고 무엇보다 좋음 ㅇㅎ너돼;ㅓ호ㅓㅈㅁ료섲ㄻ욧ㅍㅋㅅㄱㅂㅇㅅㄱㅁㅍㄹㄷㅇㅅㄱㅈㅍㅇㄷㄱㅈㅁㅋㅁㅈ숃ㄱㅎㅇㄽㅈㅍㄷㅇㅅ굦ㄷㅁㅍㅇㅌㅅ굦ㅁㅍ ㅌㄱㅇ쇼ㅕㄹㅁㅋ요ㅕㅠㅁㅈ룓쇼셪ㄷ,1,1,1,Both Correct
좋았습니다감사힙ㆍ니다 세네,0,1,1,Both Wrong
완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽완벽,1,1,1,Both Correct
"핸드폰 갤럭시s23울트라 큰 사이즈도 잘 들어가요 
에어팟챙기고 차키정도 넣어서 뛸수있어요 
손이 자유로우니까 일단 가장 큰 장점이라 할수있어요 
물론 안정감은 베스트형이겠지만, 
등에 땀나니까요!",1,0,1,AI Wins (AI Success)
짱짱하고 생각보다 잘 안 늘어나요.,1,0,1,AI Wins (AI Success)
"혹시나 해서 작은걸 구매했는데 한 치수 작은걸 구매해야 
좀 늘어나도 쓸 수 있을 것 같아요~",1,1,1,Both Correct
깔끔하네요! 저렴하고 괜찮네요,1,1,1,Both Correct
선물인데 맘에들어해서 좋아영,1,1,1,Both Correct
넘 쪼이네요 더 큰 사이즈를 샀어야..ㅜㅠ,0,1,0,AI Wins (AI Success)
빠른배송 감사합니다! 편하게 운동할게욥!,1,1,1,Both Correct
날씨가 추워서 벨트 착용하고 런닝할수 업네요... 제품은 그저 그래요,0,1,0,AI Wins (AI Success)
암밴드보다 훨씬 좋네요,1,1,1,Both Correct
"공간이 너무 허접함
열쇠. 휴대폰 떨어지기 쉬움",0,0,0,Both Correct
"이게 발끝에서부터 팬티입듯 끌어올려 착용한다는 사실을 몰랐네요. 설명에도 없어서...
구멍이 세개인데 빠져나올것같지는 않지만 넣고 빼는것도 쉽지않읍니다.",0,1,1,Both Wrong
잘 늘어나서 흘리고 지퍼가 없어서 뛰면서 빠짐,0,1,0,AI Wins (AI Success)
생각보다 착용감이 좀 불편하네요..,0,0,0,Both Correct
런닝하면서 구매했는데 편안합니다,1,0,1,AI Wins (AI Success)
한 번 세탁했더니 로고부분이 다 떨어지네요 ㅎ;; 그리고 소지품 넣는 부분이 그냥 뚫려있는 스타일이네요 달리면서 좀 신경은 쓰이더라고요,0,0,1,Baseline Wins (AI Fail)
"착용감 편해요 흐러내리지도  않고 하지만 가장중요한
실용성은 없네요 내구성도 3번사용만에 트더지고요",0,1,0,AI Wins (AI Success)
가볍고 폰넣기좋아요,1,1,1,Both Correct
그냥그렇네요 구매는 비추합니다,0,1,0,AI Wins (AI Success)
바느질이 안촣아요.,0,0,0,Both Correct
"너무 헐런거려요,,,,전 비추 ㅠ",0,1,0,AI Wins (AI Success)
휴대폰넣으면 빠져요,0,1,0,AI Wins (AI Success)
굿굿굿 달리기하는데 굿구사유뮤마탸도듀쳐다로묘ㅛ쥬어아리우너ㅑ타구조뵾ㅁㅍ누터ㅑㅇ애ㅐ츠거어듀야랴어거러ㅜ거러,1,1,1,Both Correct
아쉬워요&hellip;.자크가 없어서,0,1,1,Both Wrong
허리 26인데 고정도 딱 되고 좋습니다.,1,1,1,Both Correct
"물품을 넣을 수 있어서 편하기 하지만
벨트가 자꾸 내려와서 불편하게만 느껴져요",0,0,0,Both Correct
실용성이 없고 내구성도 없어 보입니다.,0,1,0,AI Wins (AI Success)
"근양근양...
생각보단...
칸이 안나눠졌다는게 좀...",0,0,0,Both Correct
핏플립벨트 죠와요잉,1,1,1,Both Correct
팬티입듯 입어야해서 불편하고 넣고 빼기도쉽지않아요,0,0,0,Both Correct
배송너무느림 제품 마감도 그닥,0,1,0,AI Wins (AI Success)
땀이 차면 흘러내리는감이 있네요,0,1,0,AI Wins (AI Success)
표시된거보다 사이즈도 적고 지퍼도 없어서 사용못하고 있어요,0,1,0,AI Wins (AI Success)
"골반에차려고 m사이즈삿어요
딱좋네요!",1,1,1,Both Correct
날 추워지기 전에 사길 잘했어요 뛸때 핸드폰 안들고 다녀서 좋아여.,1,0,1,AI Wins (AI Success)
"처음 사용해봤는데 좋았어요 
확실히 있으니 편하네요",1,1,1,Both Correct
허리30인치인데 s너무작아서 못쓰겠어요,0,0,0,Both Correct
뛰어도 안흔들리고 딱 고정되어 좋아요,1,0,1,AI Wins (AI Success)
"배송 빠르고 이것저것 다들어가고
흔들림적어 런닝 필수템 입니다",1,0,1,AI Wins (AI Success)
음 짱짱하고 폰이 안빠져서 좋네요,1,0,1,AI Wins (AI Success)
매우 별로임 잘못산듯,0,0,0,Both Correct
"화학제품 냄새가 좀 많이 나네요. 옷 위에 걸치는 물건이긴 하지만

맨살에 걸칠 수도 있는데 마지막 처리까지 신경 써서 해 주셨으면 합니다.",0,0,0,Both Correct
사이즈가안맞는지 헐렁헐렁,0,0,0,Both Correct
"오래쓰면 헐렁 해짐
쓸만은 함",0,1,1,Both Wrong
달리다보면 뒤집어짐 비추입니다,0,1,0,AI Wins (AI Success)
휴대폰 안정적으로 잡아주네요,1,0,1,AI Wins (AI Success)
.................................................................,0,1,0,AI Wins (AI Success)
착용후 러닝결과 생각보다 착용감이 무거워서 아쉽네요.,0,0,1,Baseline Wins (AI Fail)
"튼튼해보이고 핸드폰도 잘 들어가고 만족합니다~ 옆구리쪽 제봉선 부분이 좀 울퉁불퉁두툼해서 신경쓰이긴 하지만 크게 불편하진 않아요.
보통 체격 여자는 s 사라는 후기들이 많아서 고민 했는데 전 배 찡기는 거 싫기도 하고 골반쪽에 하는 게 좋다 그래서 m 샀는데 편하고 좋은 것 같아요. 
바지 28~29 입고 배 예민한 사람입니다.",1,0,1,AI Wins (AI Success)
기대한 것보다 잘 흘러내려서 아쉬워요.,0,1,1,Both Wrong
"상품을 못받았는데 배송완료.
 문의 답변도 안해주네요.",0,0,0,Both Correct
